surface,molecule,functional,mode,E_ads,E_ads_ML,delta,provenance,complex_directory
Ag111,CH3,pbe,relaxed,-1.48,-1.53,-0.06,"Previously published energy retained; current audit: Slab size mismatch. CH3_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,CH3,pbe,SPE,-1.449,-1.53,-0.081,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CH3/singlepoint/PBE
Ag111,CH3,pbe_d3,relaxed,-1.73,-1.53,+0.19,"Previously published energy retained; current audit: Slab size mismatch. CH3_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,CH3,pbe_d3,SPE,-1.576,-1.53,+0.046,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CH3/singlepoint/PBE_D3
Ag111,CH3,r2scan,relaxed,-1.92,-1.53,+0.38,"Previously published energy retained; current audit: Slab size mismatch. CH3_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: unfinished; slab: converged; molecule: converged",
Ag111,CH3,r2scan,SPE,-1.820,-1.53,+0.290,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CH3/singlepoint/r2scan
Ag111,CH3,beef_vdw,relaxed,-25.765,-1.53,+24.235,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets. Slab: /kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag111_n36/beef_vdw ENERGY REVIEW: |E_ads| > 5 eV.",
Ag111,CH3,beef_vdw,SPE,-25.705,-1.53,+24.175,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets.",/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ag111/singlepoint/beef_vdw
Ag111,CO,pbe,relaxed,-0.59,-0.43,+0.16,"Previously published energy retained; current audit: Slab size mismatch. CO_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,CO,pbe,SPE,-0.569,-0.43,+0.139,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CO/singlepoint/PBE
Ag111,CO,pbe_d3,relaxed,-0.83,-0.43,+0.40,"Previously published energy retained; current audit: Slab size mismatch. CO_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,CO,pbe_d3,SPE,-0.645,-0.43,+0.215,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CO/singlepoint/PBE_D3
Ag111,CO,r2scan,relaxed,-1.31,-0.43,+0.88,"Previously published energy retained; current audit: Slab size mismatch. CO_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: unfinished; slab: converged; molecule: converged",
Ag111,CO,r2scan,SPE,-1.018,-0.43,+0.588,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CO/singlepoint/r2scan
Ag111,CO,beef_vdw,relaxed,-25.036,-0.43,+24.606,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets. Slab: /kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag111_n36/beef_vdw ENERGY REVIEW: |E_ads| > 5 eV.",
Ag111,CO,beef_vdw,SPE,-24.721,-0.43,+24.291,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets.",/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CO/singlepoint/beef_vdw
Ag111,CO2,pbe,relaxed,-1.235,-0.36,+0.878,Screened Perlmutter result: CO2_Ag111,
Ag111,CO2,pbe,SPE,-0.002,-0.36,-0.355,Previously published single-point result,
Ag111,CO2,pbe_d3,relaxed,—,-0.36,—,No previously published energy; current audit: Not converged. CO2_Ag111: See component convergence statuses; complex: converged; slab: converged; molecule: electronic_unconverged,
Ag111,CO2,pbe_d3,SPE,queued,-0.36,—,,
Ag111,CO2,r2scan,relaxed,-2.17,-0.36,+1.82,Previously published energy retained; current audit: Not converged. CO2_Ag111: See component convergence statuses; complex: unfinished; slab: converged; molecule: converged,
Ag111,CO2,r2scan,SPE,-0.008,-0.36,-0.349,Previously published single-point result,
Ag111,CO2,beef_vdw,relaxed,-44.479,-0.36,+44.123,Converged Perlmutter result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics. CO2_Ag111,
Ag111,CO2,beef_vdw,SPE,-0.153,-0.36,-0.204,Previously published single-point result,
Ag111,DME,pbe,relaxed,—,-0.20,—,"No previously published energy; current audit: Slab size mismatch. CH3OCH3_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: unfinished",
Ag111,DME,pbe,SPE,refs missing,-0.20,—,,
Ag111,DME,pbe_d3,relaxed,—,-0.20,—,"No previously published energy; current audit: Slab size mismatch. CH3OCH3_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: unfinished",
Ag111,DME,pbe_d3,SPE,refs missing,-0.20,—,,
Ag111,DME,r2scan,relaxed,-1.32,-0.20,+1.11,"Previously published energy retained; current audit: Slab size mismatch. CH3OCH3_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,DME,r2scan,SPE,-1.153,-0.20,+0.953,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_DME/singlepoint/r2scan
Ag111,DME,beef_vdw,relaxed,-25.227,-0.20,+25.027,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets. Slab: /kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag111_n36/beef_vdw ENERGY REVIEW: |E_ads| > 5 eV.",
Ag111,DME,beef_vdw,SPE,-25.218,-0.20,+25.018,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets.",/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Ag111/singlepoint/beef_vdw
Ag111,H2,pbe,relaxed,-0.68,-0.23,+0.45,Previously published energy retained; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag111,H2,pbe,SPE,-0.628,-0.23,+0.398,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2/singlepoint/PBE
Ag111,H2,pbe_d3,relaxed,-0.78,-0.23,+0.55,Previously published energy retained; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag111,H2,pbe_d3,SPE,-0.562,-0.23,+0.332,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2/singlepoint/PBE_D3
Ag111,H2,r2scan,relaxed,-1.21,-0.23,+0.99,Previously published energy retained; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag111,H2,r2scan,SPE,-1.034,-0.23,+0.804,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2/singlepoint/r2scan
Ag111,H2,beef_vdw,relaxed,—,-0.23,—,No previously published energy; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag111,H2,beef_vdw,SPE,-24.907,-0.23,+24.677,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets.",/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2/singlepoint/beef_vdw
Ag111,H2O,pbe,relaxed,-0.80,-0.45,+0.35,"Previously published energy retained; current audit: Slab size mismatch. H2O_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,H2O,pbe,SPE,-0.744,-0.45,+0.294,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2O/singlepoint/PBE
Ag111,H2O,pbe_d3,relaxed,-1.01,-0.45,+0.56,"Previously published energy retained; current audit: Slab size mismatch. H2O_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,H2O,pbe_d3,SPE,-0.767,-0.45,+0.317,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2O/singlepoint/PBE_D3
Ag111,H2O,r2scan,relaxed,-1.38,-0.45,+0.94,"Previously published energy retained; current audit: Slab size mismatch. H2O_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: unfinished; slab: converged; molecule: converged",
Ag111,H2O,r2scan,SPE,-1.202,-0.45,+0.752,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2O/singlepoint/r2scan
Ag111,H2O,beef_vdw,relaxed,-25.112,-0.45,+24.662,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets. Slab: /kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag111_n36/beef_vdw ENERGY REVIEW: |E_ads| > 5 eV.",
Ag111,H2O,beef_vdw,SPE,-25.075,-0.45,+24.625,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets.",/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2O/singlepoint/beef_vdw
Ag111,H2S,pbe,relaxed,-0.80,-0.37,+0.43,"Previously published energy retained; current audit: Slab size mismatch. H2S_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,H2S,pbe,SPE,-0.727,-0.37,+0.357,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2S/singlepoint/PBE
Ag111,H2S,pbe_d3,relaxed,-1.14,-0.37,+0.78,"Previously published energy retained; current audit: Slab size mismatch. H2S_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,H2S,pbe_d3,SPE,-0.878,-0.37,+0.508,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2S/singlepoint/PBE_D3
Ag111,H2S,r2scan,relaxed,—,-0.37,—,"No previously published energy; current audit: Slab size mismatch. H2S_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: unfinished; slab: converged; molecule: converged",
Ag111,H2S,r2scan,SPE,-1.214,-0.37,+0.844,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2S/singlepoint/r2scan
Ag111,H2S,beef_vdw,relaxed,-25.167,-0.37,+24.797,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets. Slab: /kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag111_n36/beef_vdw ENERGY REVIEW: |E_ads| > 5 eV.",
Ag111,H2S,beef_vdw,SPE,-25.133,-0.37,+24.763,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets.",/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2S/singlepoint/beef_vdw
Ag111,N2,pbe,relaxed,-0.70,-0.05,+0.64,"Previously published energy retained; current audit: Slab size mismatch. N2_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,N2,pbe,SPE,-0.663,-0.05,+0.613,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_N2/singlepoint/PBE
Ag111,N2,pbe_d3,relaxed,-0.78,-0.05,+0.73,"Previously published energy retained; current audit: Slab size mismatch. N2_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,N2,pbe_d3,SPE,-0.586,-0.05,+0.536,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_N2/singlepoint/PBE_D3
Ag111,N2,r2scan,relaxed,-1.24,-0.05,+1.18,"Previously published energy retained; current audit: Slab size mismatch. N2_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: unfinished; slab: converged; molecule: converged",
Ag111,N2,r2scan,SPE,-1.060,-0.05,+1.010,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_N2/singlepoint/r2scan
Ag111,N2,beef_vdw,relaxed,-24.986,-0.05,+24.936,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets. Slab: /kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag111_n36/beef_vdw ENERGY REVIEW: |E_ads| > 5 eV.",
Ag111,N2,beef_vdw,SPE,-24.984,-0.05,+24.934,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets.",/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_N2/singlepoint/beef_vdw
Ag111,NH3,pbe,relaxed,-0.97,-0.60,+0.36,"Previously published energy retained; current audit: Slab size mismatch. NH3_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,NH3,pbe,SPE,-0.940,-0.60,+0.340,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NH3/singlepoint/PBE
Ag111,NH3,pbe_d3,relaxed,-1.23,-0.60,+0.63,"Previously published energy retained; current audit: Slab size mismatch. NH3_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,NH3,pbe_d3,SPE,-1.012,-0.60,+0.412,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NH3/singlepoint/PBE_D3
Ag111,NH3,r2scan,relaxed,-1.63,-0.60,+1.02,"Previously published energy retained; current audit: Slab size mismatch. NH3_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: unfinished; slab: converged; molecule: converged",
Ag111,NH3,r2scan,SPE,-1.444,-0.60,+0.844,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NH3/singlepoint/r2scan
Ag111,NH3,beef_vdw,relaxed,-25.294,-0.60,+24.694,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets. Slab: /kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag111_n36/beef_vdw ENERGY REVIEW: |E_ads| > 5 eV.",
Ag111,NH3,beef_vdw,SPE,-25.290,-0.60,+24.690,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets.",/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NH3/singlepoint/beef_vdw
Ag111,NO,pbe,relaxed,-1.24,-0.54,+0.70,"Previously published energy retained; current audit: Slab size mismatch. NO_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,NO,pbe,SPE,-1.185,-0.54,+0.645,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NO/singlepoint/PBE
Ag111,NO,pbe_d3,relaxed,-1.46,-0.54,+0.92,"Previously published energy retained; current audit: Slab size mismatch. NO_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,NO,pbe_d3,SPE,-1.281,-0.54,+0.741,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NO/singlepoint/PBE_D3
Ag111,NO,r2scan,relaxed,-2.15,-0.54,+1.61,"Previously published energy retained; current audit: Slab size mismatch. NO_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: unfinished; slab: converged; molecule: ionic_unconverged",
Ag111,NO,r2scan,SPE,queued,-0.54,—,,
Ag111,NO,beef_vdw,relaxed,-32.198,-0.54,+31.658,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets. Slab: /kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag111_n36/beef_vdw ENERGY REVIEW: |E_ads| > 5 eV.",
Ag111,NO,beef_vdw,SPE,-32.157,-0.54,+31.617,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets.",/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NO/singlepoint/beef_vdw
Ag111,O2,pbe,relaxed,-0.71,-0.09,+0.62,Previously published energy retained; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag111,O2,pbe,SPE,—,-0.09,—,,
Ag111,O2,pbe_d3,relaxed,—,-0.09,—,No previously published energy; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag111,O2,pbe_d3,SPE,—,-0.09,—,,
Ag111,O2,r2scan,relaxed,—,-0.09,—,No previously published energy; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag111,O2,r2scan,SPE,—,-0.09,—,,
Ag111,O2,beef_vdw,relaxed,—,-0.09,—,No previously published energy; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag111,O2,beef_vdw,SPE,—,-0.09,—,,
Ag111,SO2,pbe,relaxed,-0.77,-0.28,+0.49,"Previously published energy retained; current audit: Slab size mismatch. SO2_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,SO2,pbe,SPE,-0.694,-0.28,+0.414,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_SO2/singlepoint/PBE
Ag111,SO2,pbe_d3,relaxed,-1.22,-0.28,+0.94,"Previously published energy retained; current audit: Slab size mismatch. SO2_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,SO2,pbe_d3,SPE,-0.985,-0.28,+0.705,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_SO2/singlepoint/PBE_D3
Ag111,SO2,r2scan,relaxed,—,-0.28,—,"No previously published energy; current audit: Slab size mismatch. SO2_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: unfinished; slab: converged; molecule: converged",
Ag111,SO2,r2scan,SPE,queued,-0.28,—,,
Ag111,SO2,beef_vdw,relaxed,-25.240,-0.28,+24.960,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets. Slab: /kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag111_n36/beef_vdw ENERGY REVIEW: |E_ads| > 5 eV.",
Ag111,SO2,beef_vdw,SPE,-25.236,-0.28,+24.956,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets.",/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_SO2/singlepoint/beef_vdw
Ag111,acetaldehyde,pbe,relaxed,-0.72,-0.41,+0.30,"Previously published energy retained; current audit: Slab size mismatch. CH3CHO_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,acetaldehyde,pbe,SPE,-0.675,-0.41,+0.265,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_acetaldehyde/singlepoint/PBE
Ag111,acetaldehyde,pbe_d3,relaxed,-0.98,-0.41,+0.57,"Previously published energy retained; current audit: Slab size mismatch. CH3CHO_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,acetaldehyde,pbe_d3,SPE,-0.786,-0.41,+0.376,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_acetaldehyde/singlepoint/PBE_D3
Ag111,acetaldehyde,r2scan,relaxed,-1.33,-0.41,+0.92,"Previously published energy retained; current audit: Slab size mismatch. CH3CHO_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: unfinished; slab: converged; molecule: converged",
Ag111,acetaldehyde,r2scan,SPE,-1.176,-0.41,+0.766,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_acetaldehyde/singlepoint/r2scan
Ag111,acetaldehyde,beef_vdw,relaxed,-25.166,-0.41,+24.756,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets. Slab: /kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag111_n36/beef_vdw ENERGY REVIEW: |E_ads| > 5 eV.",
Ag111,acetaldehyde,beef_vdw,SPE,-25.154,-0.41,+24.744,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets.",/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Ag111/singlepoint/beef_vdw
Ag111,acetic_acid,pbe,relaxed,—,-0.47,—,"No previously published energy; current audit: Slab size mismatch. CH3COOH_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: unfinished",
Ag111,acetic_acid,pbe,SPE,refs missing,-0.47,—,,
Ag111,acetic_acid,pbe_d3,relaxed,—,-0.47,—,"No previously published energy; current audit: Slab size mismatch. CH3COOH_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: unfinished",
Ag111,acetic_acid,pbe_d3,SPE,refs missing,-0.47,—,,
Ag111,acetic_acid,r2scan,relaxed,-1.48,-0.47,+1.01,"Previously published energy retained; current audit: Slab size mismatch. CH3COOH_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: unfinished; slab: converged; molecule: converged",
Ag111,acetic_acid,r2scan,SPE,-1.325,-0.47,+0.855,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_acetic_acid/singlepoint/r2scan
Ag111,acetic_acid,beef_vdw,relaxed,-25.286,-0.47,+24.816,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets. Slab: /kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag111_n36/beef_vdw ENERGY REVIEW: |E_ads| > 5 eV.",
Ag111,acetic_acid,beef_vdw,SPE,-25.272,-0.47,+24.802,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets.",/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3COOH_Ag111/singlepoint/beef_vdw
Ag111,ethane,pbe,relaxed,-1.221,-0.27,+0.947,Screened Perlmutter result: C2H6_Ag111,
Ag111,ethane,pbe,SPE,-0.002,-0.27,-0.273,Previously published single-point result,
Ag111,ethane,pbe_d3,relaxed,-1.478,-0.27,+1.204,Screened Perlmutter result: C2H6_Ag111,
Ag111,ethane,pbe_d3,SPE,-0.134,-0.27,-0.141,Previously published single-point result,
Ag111,ethane,r2scan,relaxed,-2.168,-0.27,+1.894,Screened Perlmutter result: C2H6_Ag111,
Ag111,ethane,r2scan,SPE,+0.000,-0.27,-0.275,Previously published single-point result,
Ag111,ethane,beef_vdw,relaxed,-44.523,-0.27,+44.249,Converged Perlmutter result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics. C2H6_Ag111,
Ag111,ethane,beef_vdw,SPE,-0.200,-0.27,-0.074,Previously published single-point result,
Ag111,ethanol,pbe,relaxed,-1.317,-0.38,+0.941,Screened Perlmutter result: CH3CH2OH_Ag111,
Ag111,ethanol,pbe,SPE,-0.085,-0.38,-0.291,Previously published single-point result,
Ag111,ethanol,pbe_d3,relaxed,-1.654,-0.38,+1.278,Screened Perlmutter result: CH3CH2OH_Ag111,
Ag111,ethanol,pbe_d3,SPE,-0.271,-0.38,-0.105,Previously published single-point result,
Ag111,ethanol,r2scan,relaxed,-2.29,-0.38,+1.91,Previously published energy retained; current audit: Not converged. CH3CH2OH_Ag111: See component convergence statuses; complex: unfinished; slab: converged; molecule: converged,
Ag111,ethanol,r2scan,SPE,-0.157,-0.38,-0.219,Previously published single-point result,
Ag111,ethanol,beef_vdw,relaxed,-44.647,-0.38,+44.271,Converged Perlmutter result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics. CH3CH2OH_Ag111,
Ag111,ethanol,beef_vdw,SPE,-0.310,-0.38,-0.066,Previously published single-point result,
Ag111,ethene,pbe,relaxed,-0.72,-0.17,+0.55,"Previously published energy retained; current audit: Slab size mismatch. C2H4_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,ethene,pbe,SPE,-0.034,-0.17,-0.133,Previously published single-point result,
Ag111,ethene,pbe_d3,relaxed,-1.09,-0.17,+0.92,"Previously published energy retained; current audit: Slab size mismatch. C2H4_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: converged; slab: converged; molecule: converged",
Ag111,ethene,pbe_d3,SPE,-0.184,-0.17,+0.016,Previously published single-point result,
Ag111,ethene,r2scan,relaxed,-1.31,-0.17,+1.15,"Previously published energy retained; current audit: Slab size mismatch. C2H4_Ag111: slab size mismatch: complex has 36 Ag, reference has 64; complex: unfinished; slab: converged; molecule: converged",
Ag111,ethene,r2scan,SPE,-0.062,-0.17,-0.105,Previously published single-point result,
Ag111,ethene,beef_vdw,relaxed,-25.162,-0.17,+24.992,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets. Slab: /kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag111_n36/beef_vdw ENERGY REVIEW: |E_ads| > 5 eV.",
